exporter,importer,year,trade,Y,E,pta,contiguity,common_language,lndist,international
Japan,Brazil,2021,5697653.28,757066261.25,234690442.200,0,0,0,17000,1
Chile,Brazil,2021,3153527.91,94676809.21,234690442.200,1,0,0,3800,1
India,Brazil,2021,1333708.68,394813673.35,234690442.200,1,0,0,15000,1
Australia,Russia,2021,183936.89,342036103.27,293497128.020,0,0,0,14182,1
Brunei,Russia,2021,322.52,11058184.37,293497128.020,0,0,0,7400,0
Canada,Russia,2021,344052.51,501538854.87,293497128.020,0,0,1,8000,1
Chile,Russia,2021,418286.49,94676809.21,293497128.020,0,0,0,17000,1
India,Russia,2021,5360774.08,394813673.35,293497128.020,0,0,0,5800,1
Japan,Russia,2021,6254926.47,757066261.25,293497128.020,0,0,0,8000,1
Malaysia,USA,2021,16286381.76,299230434.39,2932976075.230,0,0,1,16000,1
Mexico,USA,2021,164774981.7,494595503.44,2932976075.230,0,1,1,3000,1
New Zealand,USA,2021,458708.71,44325287.82,2932976075.230,0,0,1,14000,1
Peru,USA,2021,2369367.51,56260115.20,2932976075.230,1,0,0,7500,1
Singapore,USA,2021,1256316.33,457473986.07,2932976075.230,1,0,1,16000,1
UK,USA,2021,200044.48,470547786.03,2932976075.230,0,0,1,6500,1
Vietnam,USA,2021,81148418.64,335792597.81,2932976075.230,0,0,0,13000,1
China,USA,2021,396153567.7,3362301613.440,2932976075.230,1,0,0,11000,1
Germany,USA,2021,57805030.93,1635599573.790,2932976075.230,1,0,0,6900,1
France,USA,2021,10157175.96,585148036.600,2932976075.230,1,0,1,6300,1
Italy,Mexico,2021,3299137.74,615910260.060,506565459.47,1,0,0,10000,1
Brazil,Mexico,2021,789804.260,280814577.460,506565459.47,1,0,1,8000,1
Russia,Australia,2021,502305.98,492313790.700,261586379.46,1,0,0,14000,1
USA,USA,2021,1179839367.120,1753136708.110,2932976075.230,0,0,1,0,0
USA,Australia,2021,14561511.630,1753136708.110,261586379.46,1,0,1,14500,1
USA,Brunei,2021,79086.810,1753136708.110,8574738.53,1,0,0,15000,1
USA,Canada,2021,56977934.320,1753136708.110,491400949.55,1,1,1,3500,1
USA,Chile,2021,1379588.150,1753136708.110,92190957.18,1,0,0,8000,1
USA,Japan,2021,64428977.480,1753136708.110,772276197.10,1,0,0,10000,1
USA,Malaysia,2021,42669634.030,1753136708.110,238249762.71,1,0,0,15000,1
USA,Mexico,2021,111898670.000,1753136708.110,506565459.47,1,1,0,3000,1
USA,New Zealand,2021,1433850.790,1753136708.110,49221408.96,1,0,1,13500,1
USA,Peru,2021,2906533.170,1753136708.110,51177707.72,1,0,0,7500,1
USA,Singapore,2021,5911006.100,1753136708.110,406622366.68,1,0,1,16000,1
USA,UK,2021,4481415.990,1753136708.110,688236538.50,1,0,1,6500,1
USA,Vietnam,2021,97248281.010,1753136708.110,330752261.35,1,0,0,13000,1
USA,India,2021,36889355.830,1753136708.110,570402004.49,1,0,1,12800,1
USA,China,2021,390466174.850,1753136708.110,2684362678.520,1,0,0,11000,1
USA,Germany,2021,73388205.340,1753136708.110,1424674986.140,1,0,0,6900,1
USA,France,2021,21010470.200,1753136708.110,714842314.540,1,0,0,6300,1
USA,Italy,2021,41334143.010,1753136708.110,568202425.250,1,0,0,7200,1
USA,Brazil,2021,14039029.910,1753136708.110,234690442.200,1,0,0,9000,1
USA,Russia,2021,24374020.570,1753136708.110,293497128.020,1,0,0,8000,1
China,Australia,2021,97346052.960,3362301613.440,261586379.46,1,0,0,8500,1
China,Brunei,2021,1582783.170,3362301613.440,8574738.53,1,0,0,3000,1
China,Canada,2021,21060419.660,3362301613.440,491400949.55,1,0,0,9000,1
China,Chile,2021,13165837.120,3362301613.440,92190957.18,1,0,0,18000,1
China,Japan,2021,39700749.970,3362301613.440,772276197.10,1,0,0,2500,1
China,Malaysia,2021,19494807.360,3362301613.440,238249762.71,1,0,0,4000,1
China,Mexico,2021,48298157.950,3362301613.440,506565459.47,1,0,0,13000,1
China,New Zealand,2021,7594401.530,3362301613.440,49221408.96,1,0,0,9000,1
China,Peru,2021,10882539.640,3362301613.440,51177707.72,1,0,0,20000,1
China,Singapore,2021,16412207.570,3362301613.440,406622366.68,1,0,0,3000,1
China,UK,2021,61376839.260,3362301613.440,688236538.50,1,0,0,8500,1
China,Vietnam,2021,45588903.410,3362301613.440,330752261.35,1,1,0,2300,1
China,India,2021,69373320.210,3362301613.440,570402004.49,1,1,0,4500,1
China,China,2021,677938934.920,3362301613.440,2684362678.520,0,0,1,0,0
China,Germany,2021,4738149.650,3362301613.440,1424674986.140,1,0,0,7500,1
China,France,2021,7261557.090,3362301613.440,714842314.540,1,0,0,8000,1
China,Italy,2021,13307466.000,3362301613.440,568202425.250,1,0,0,8000,1
China,Brazil,2021,56265651.890,3362301613.440,234690442.200,1,0,0,1800,1
China,Russia,2021,11420556.300,3362301613.440,293497128.020,1,1,0,4000,1
Germany,Australia,2021,8622910.350,1635599573.790,261586379.46,1,0,0,16000,1
Germany,Brunei,2021,55168.290,1635599573.790,8574738.53,1,0,0,10500,1
Germany,Canada,2021,5282337.140,1635599573.790,491400949.55,1,0,0,6100,1
Germany,Chile,2021,1929378.670,1635599573.790,92190957.18,1,0,0,14000,1
Germany,Japan,2021,6505842.080,1635599573.790,772276197.10,1,0,0,9000,1
Germany,Malaysia,2021,5711629.340,1635599573.790,238249762.71,1,0,0,10500,1
Germany,Mexico,2021,6292842.030,1635599573.790,506565459.47,1,0,0,9000,1
Germany,New Zealand,2021,1106548.690,1635599573.790,49221408.96,1,0,0,18000,1
Germany,Peru,2021,548494.040,1635599573.790,51177707.72,1,0,0,12000,1
Germany,Singapore,2021,3610741.630,1635599573.790,406622366.68,1,0,0,10000,1
Germany,UK,2021,39299833.980,1635599573.790,688236538.50,1,0,0,1200,1
Germany,Vietnam,2021,8081773.910,1635599573.790,330752261.35,1,0,0,8500,1
Germany,India,2021,1694942.890,1635599573.790,570402004.49,1,0,0,6500,1
Germany,China,2021,47054807.950,1635599573.790,2684362678.520,1,0,0,7500,1
Germany,Germany,2021,210924587.650,1635599573.790,1424674986.140,0,0,1,0,0
Germany,France,2021,47908948.240,1635599573.790,714842314.540,1,1,0,1000,1
Germany,Italy,2021,11527754.830,1635599573.790,568202425.250,1,0,0,1000,1
Germany,Brazil,2021,3656860.630,1635599573.790,234690442.200,1,0,0,10000,1
Germany,Russia,2021,4777667.860,1635599573.790,293497128.020,1,0,0,1500,1
France,Australia,2021,2539404.100,585148036.600,261586379.46,1,0,1,16000,1
France,Brunei,2021,8086.980,585148036.600,8574738.53,1,0,0,11000,1
France,Canada,2021,166435.320,585148036.600,491400949.55,1,0,1,5800,1
France,Chile,2021,377469.700,585148036.600,92190957.18,1,0,0,11900,1
France,Japan,2021,825340.610,585148036.600,772276197.10,1,0,0,10500,1
France,Malaysia,2021,1733783.900,585148036.600,238249762.71,1,0,0,10000,1
France,Mexico,2021,2227389.110,585148036.600,506565459.47,1,0,0,9100,1
France,New Zealand,2021,402671.280,585148036.600,49221408.96,1,0,1,18000,1
France,Peru,2021,171553.780,585148036.600,51177707.72,1,0,0,11300,1
France,Singapore,2021,6508901.170,585148036.600,406622366.68,1,0,0,10600,1
France,UK,2021,9893890.360,585148036.600,688236538.50,1,0,1,340,1
France,Vietnam,2021,2607253.130,585148036.600,330752261.35,1,0,0,9000,1
France,India,2021,418514.700,585148036.600,570402004.49,1,0,1,7500,1
France,China,2021,19854915.310,585148036.600,2684362678.520,1,0,0,8000,1
France,Germany,2021,38196500.460,585148036.600,1424674986.140,1,1,1,1000,1
France,France,2021,129694277.940,585148036.600,714842314.540,0,0,1,0,0
France,Italy,2021,13035251.650,585148036.600,568202425.250,1,1,1,1000,1
France,Brazil,2021,992322.610,585148036.600,234690442.200,1,0,0,9300,1
France,Russia,2021,3840029.190,585148036.600,293497128.020,1,0,0,3400,1
Italy,Singapore,2021,1961713.020,615910260.060,406622366.68,1,0,0,9000,1
Italy,Australia,2021,4377052.800,615910260.060,261586379.46,1,0,0,15000,1
Italy,Brunei,2021,18465.720,615910260.060,8574738.53,1,0,0,11000,1
Italy,Canada,2021,3666550.710,615910260.060,491400949.55,1,0,0,8000,1
Italy,Chile,2021,590528.540,615910260.060,92190957.18,1,0,0,11900,1
Italy,India,2021,3217664.030,615910260.060,570402004.49,1,0,0,6500,1
Italy,Japan,2021,3661446.010,615910260.060,772276197.10,1,0,0,10500,1
Italy,Peru,2021,73772.390,615910260.060,51177707.72,1,0,0,10700,1
Italy,Vietnam,2021,2769891.910,615910260.060,330752261.35,1,0,0,8000,1
Italy,Malaysia,2021,556842.330,615910260.060,238249762.71,1,0,0,10800,1
Italy,New Zealand,2021,600924.970,615910260.060,49221408.96,1,0,0,12700,1
Italy,UK,2021,18148487.340,615910260.060,688236538.50,1,0,0,1000,1
Italy,USA,2021,39680590.080,615910260.060,2932976075.230,1,0,0,7200,1
Italy,China,2021,27108344.500,615910260.060,2684362678.520,1,0,0,8000,1
Italy,Germany,2021,11281274.320,615910260.060,1424674986.140,1,0,0,1000,1
Italy,France,2021,17015959.700,615910260.060,714842314.540,1,1,0,1000,1
Italy,Italy,2021,47707834.820,615910260.060,568202425.250,0,0,1,0,0
Italy,Brazil,2021,351903.190,615910260.060,234690442.200,1,0,0,9300,1
Italy,Russia,2021,12980278.400,615910260.060,293497128.020,1,0,0,2500,1
Brazil,Singapore,2021,4938100.470,280814577.460,406622366.68,1,0,0,17000,1
Brazil,Australia,2021,711392.920,280814577.460,261586379.46,1,0,0,15000,1
Brazil,Brunei,2021,1030.420,280814577.460,8574738.53,1,0,0,15000,1
Brazil,Canada,2021,2128645.560,280814577.460,491400949.55,1,0,0,9000,1
Brazil,Chile,2021,2466429.130,280814577.460,92190957.18,1,0,0,3000,1
Brazil,India,2021,2434929.200,280814577.460,570402004.49,1,0,0,15000,1
Brazil,Japan,2021,111568.720,280814577.460,772276197.10,1,0,0,18000,1
Brazil,Peru,2021,1826222.150,280814577.460,51177707.72,1,1,0,3000,1
Brazil,Vietnam,2021,395788.600,280814577.460,330752261.35,1,0,0,17000,1
Brazil,Malaysia,2021,2813242.470,280814577.460,238249762.71,1,0,0,15000,1
Brazil,New Zealand,2021,12517.100,280814577.460,49221408.96,1,0,0,14000,1
Brazil,UK,2021,392639.150,280814577.460,688236538.50,1,0,0,9000,1
Brazil,USA,2021,10165410.830,280814577.460,2932976075.230,1,0,0,8000,1
Brazil,China,2021,34443871.090,280814577.460,2684362678.520,1,0,0,17000,1
Brazil,Germany,2021,6878572.670,280814577.460,1424674986.140,1,0,0,10000,1
Brazil,France,2021,2464538.710,280814577.460,714842314.540,1,0,0,10000,1
Brazil,Italy,2021,1888521.060,280814577.460,568202425.250,1,0,0,9000,1
Brazil,Brazil,2021,46124135.260,280814577.460,234690442.200,0,0,1,0,0
Brazil,Russia,2021,4641117.190,280814577.460,293497128.020,1,0,0,15000,1
Russia,Brunei,2021,2509.250,492313790.700,8574738.53,1,0,0,9500,1
Russia,Canada,2021,190348.180,492313790.700,491400949.55,1,0,0,8000,1
Russia,Chile,2021,675679.200,492313790.700,92190957.18,1,0,0,16000,1
Russia,Japan,2021,1598717.920,492313790.700,772276197.10,1,0,0,7000,1
Russia,Malaysia,2021,392726.150,492313790.700,238249762.71,1,0,0,8000,1
Russia,Mexico,2021,2022563.090,492313790.700,506565459.47,1,0,0,10000,1
Russia,New Zealand,2021,155845.810,492313790.700,49221408.96,1,0,0,19000,1
Russia,Peru,2021,123666.470,492313790.700,51177707.72,1,0,0,13000,1
Russia,Singapore,2021,1068819.030,492313790.700,406622366.68,1,0,0,9000,1
Russia,UK,2021,17807834.560,492313790.700,688236538.50,1,0,0,2500,1
Russia,Vietnam,2021,2654807.840,492313790.700,330752261.35,1,0,0,7000,1
Russia,India,2021,4700401.730,492313790.700,570402004.49,1,0,0,5000,1
Russia,USA,2021,482266.920,492313790.700,2932976075.230,1,0,0,9000,1
Russia,China,2021,4013776.920,492313790.700,2684362678.520,1,0,0,4000,1
Russia,Germany,2021,2295097.050,492313790.700,1424674986.140,1,0,0,2000,1
Russia,France,2021,2301150.770,492313790.700,714842314.540,1,0,0,2500,1
Russia,Italy,2021,7250624.560,492313790.700,568202425.250,1,0,0,2500,1
Russia,Brazil,2021,3038387.240,492313790.700,234690442.200,1,0,0,15000,1
Russia,Russia,2021,198816662.680,492313790.700,293497128.020,0,0,1,0,0
Malaysia,China,2021,8918163.500,299230434.39,2684362678.520,1,0,0,4000,1
Malaysia,Germany,2021,716069.230,299230434.39,1424674986.140,1,0,0,10500,1
Malaysia,France,2021,283200.500,299230434.39,714842314.540,1,0,0,10000,1
Malaysia,Italy,2021,126499.190,299230434.39,568202425.250,1,0,0,8000,1
Malaysia,Brazil,2021,1758697.940,299230434.39,234690442.200,1,0,0,17000,1
Malaysia,Russia,2021,258610.150,299230434.39,293497128.020,1,0,0,9500,1
Mexico,China,2021,91941910.590,494595503.44,2684362678.520,1,0,0,14000,1
Mexico,Germany,2021,9786945.370,494595503.44,1424674986.140,1,0,0,9000,1
Mexico,France,2021,2799510.860,494595503.44,714842314.540,1,0,0,9100,1
Mexico,Italy,2021,5197809.200,494595503.44,568202425.250,1,0,0,9000,1
Mexico,Brazil,2021,5245419.250,494595503.44,234690442.200,1,0,0,9000,1
Mexico,Russia,2021,1730658.270,494595503.44,293497128.020,1,0,0,10000,1
New Zealand,China,2021,2158417.740,44325287.82,2684362678.520,1,0,0,11000,1
New Zealand,Germany,2021,1837399.250,44325287.82,1424674986.140,1,0,0,18000,1
New Zealand,France,2021,624950.220,44325287.82,714842314.540,1,0,0,19000,1
New Zealand,Italy,2021,950048.920,44325287.82,568202425.250,1,0,0,12700,1
New Zealand,Brazil,2021,85553.650,44325287.82,234690442.200,1,0,0,14000,1
New Zealand,Russia,2021,100484.930,44325287.82,293497128.020,1,0,0,19000,1
Peru,China,2021,3383119.740,56260115.20,2684362678.520,1,0,0,20000,1
Peru,Germany,2021,97909.170,56260115.20,1424674986.140,0,0,0,12000,1
Peru,France,2021,91324.68,56260115.20,714842314.540,0,0,0,11300,1
Peru,Italy,2021,94800.500,56260115.20,568202425.250,0,0,0,10700,1
Peru,Brazil,2021,2362602.570,56260115.20,234690442.200,1,1,0,3000,1
Peru,Russia,2021,450050.960,56260115.20,293497128.020,0,0,0,13000,1
Singapore,China,2021,13136087.950,457473986.07,2684362678.520,1,0,0,4000,1
Singapore,Germany,2021,3187071.580,457473986.07,1424674986.140,0,0,0,10000,1
Singapore,France,2021,7652267.510,457473986.07,714842314.540,0,0,0,10600,1
Singapore,Italy,2021,4063694.440,457473986.07,568202425.250,0,0,0,9000,1
Singapore,Brazil,2021,2468318.370,457473986.07,234690442.200,0,0,0,17000,1
Singapore,Russia,2021,2775380.660,457473986.07,293497128.020,0,0,0,8000,1
UK,China,2021,70271984.360,470547786.03,2684362678.520,0,0,0,8500,1
UK,Germany,2021,34556287.300,470547786.03,1424674986.140,0,0,0,1200,1
UK,France,2021,4292659.160,470547786.03,714842314.540,0,0,0,340,1
UK,Italy,2021,13735938.240,470547786.03,568202425.250,0,0,0,1000,1
UK,Brazil,2021,876106.220,470547786.03,234690442.200,0,0,0,9000,1
UK,Russia,2021,21031874.330,470547786.03,293497128.020,0,0,0,2500,1
Vietnam,China,2021,53927842.840,335792597.81,2684362678.520,1,1,0,2300,1
Vietnam,Germany,2021,3351166.990,335792597.81,1424674986.140,0,0,0,8500,1
Vietnam,France,2021,1591442.590,335792597.81,714842314.540,0,0,0,10600,1
Vietnam,Italy,2021,2119028.550,335792597.81,568202425.250,0,0,0,9000,1
Vietnam,Brazil,2021,1826585.470,335792597.81,234690442.200,0,0,0,17000,1
Vietnam,Russia,2021,899623.000,335792597.81,293497128.020,1,0,0,6600,1