,factory gate price change (percent),baseline imr,experiment imr,imr change (percent),baseline omr,experiment omr,omr change (percent),terms of trade change (percent),GDP change (percent),welfare statistic,baseline output,experiment output,output change (percent),baseline expenditure,experiment expenditure,expenditure change (percent),baseline modeled foreign exports,experiment foreign exports,foreign exports change (percent),baseline modeled foreign imports,experiment foreign imports,foreign imports change (percent),baseline modeled intranational trade,experiment modeled intranational trade,intranational trade change (percent),baseline observed foreign exports,experiment observed foreign exports,baseline observed foreign imports,experiment observed foreign imports,baseline observed intranational trade,experiment observed intranational trade
Australia,0.07125210222156397,1.0702805351035374,1.0708490356719162,0.05311696791008867,1.9428188258127261,1.9414355121928577,-0.0712013699625213,0.01812550659194968,0.018125506591947477,0.9998187777815255,342036103.27,342279811.1839366,0.07125210222156997,261586379.45999998,261772765.25449052,0.07125210222157108,284954374.73120636,285208087.7636982,0.08903637037725316,195657494.4427566,195843298.2963124,0.09496383161042628,65928885.01194381,65922004.69683137,-0.01043596461732263,175952775.86,176109437.82520378,197439341.64999998,197626837.61393723,80449723.81,80441328.10528845
Brazil,0.07370133934219147,1.054386174192805,1.0552442222735188,0.08137891995508827,1.840491190339502,1.8391357226754363,-0.07364706069664247,-0.007671337761071724,-0.007671337761064502,1.0000767192630045,280814577.46,281021541.56465614,0.07370133934220008,234690442.2,234863412.1992095,0.07370133934219636,251238326.15888023,251421687.30405885,0.07298295128055445,197850599.4660054,197989803.84498787,0.07035833065867084,36839842.72440794,36875830.86152111,0.09768808564789334,79504341.7,79562366.31496884,106776471.37,106851597.51279217,46124135.26,46169193.044757135
Brunei,0.07385845692904347,1.0912672570656161,1.0921549846049605,0.08134831624394918,1.8084223518781641,1.8070876648095082,-0.07380394669805734,-0.007483771392881801,-0.007483771392872054,1.0000748433150313,11058184.37,11066351.77434005,0.07385845692904752,8574738.53,8581071.699563958,0.07385845692904669,11287528.158315726,11295936.249816075,0.07449010432062533,8518049.685453799,8524406.343637194,0.07462574671583654,56688.84505351851,56743.97571583658,0.09725134153998768,8446558.94,8452850.79056591,7572888.09,7578539.414285117,2483445.85,2485861.0344055444
Canada,0.10063204690264893,1.0517174739970976,1.0523544552638675,0.06056581567947575,1.79731848217499,1.7955116220733025,-0.10053088084315838,0.04004197947169436,0.04004197947169944,0.9995997404771191,501538854.87,502043563.6856678,0.10063204690265318,491400949.55,491895456.38403124,0.10063204690265015,390487649.0883168,391078120.0524625,0.1512137363433415,367376865.5380879,367939694.67628324,0.15320211776835044,124024084.03718883,123975268.49214587,-0.039359730347473816,195856896.61,196153059.14125013,113073334.35,113246565.09285548,10137905.33,10133915.077799229
Chile,0.07312110648753922,1.0646456652765968,1.065510692456583,0.0812502420475661,1.8668996250101955,1.8655355247884051,-0.07306767881443511,-0.008122535979886384,-0.008122535979880129,1.0000812319578938,94676809.21,94746037.94048144,0.07312110648753642,92190957.18,92258368.22797146,0.07312110648752594,91756588.91421884,91824870.55488689,0.07441606262399796,86821812.52432618,86884698.46360949,0.07243103714943945,5369144.656021077,5374424.352828139,0.09833403913119541,24451133.45,24469329.02078043,29144546.73,29165656.427469045,2485852.02,2488296.4586980906
China,0.0725805346349917,0.894584324893185,0.8953029913540252,0.08033523960148747,1.6205567272063066,1.6193813715454977,-0.07252789372175568,-0.007748480206358136,-0.007748480206347866,1.0000774908064234,3362301613.44,3364741989.927076,0.07258053463499473,2684362678.52,2686311003.303612,0.07258053463500108,1877863683.5990608,1878956906.473382,0.05821630632027465,1112954957.5613606,1113395971.0769334,0.03962545946505404,1571407721.0723617,1572912420.0230784,0.09575484010539898,941023968.4399999,941571797.8360143,1016922804.14,1017325764.4735453,677938934.92,678588094.2631449
France,0.07639324057862051,0.9686705005529564,0.9694324980835451,0.0786642651091077,1.849611451323407,1.8481995517890857,-0.07633492609007594,-0.002269239449950123,-0.002269239449952906,1.000022692909456,585148036.6,585595050.1473409,0.07639324057861324,714842314.54,715388405.7491043,0.07639324057861746,430392216.610146,430706406.4939963,0.07300082848267044,544950968.8385918,545346074.8449556,0.07250303769636482,169891345.71764746,170029711.7655818,0.0814438471540995,113956889.32,114040078.79331668,126404313.46,126495960.42703773,129694277.94,129799905.94949305
Germany,0.07518983993106687,0.9643290642704129,0.9650882297750122,0.07872473543807149,1.6930603017023658,1.6917882488221998,-0.07513334751791884,-0.003532114858919842,-0.003532114858939418,1.0000353223962168,1635599573.79,1636829378.4914458,0.07518983993106107,1424674986.14,1425746196.9816167,0.07518983993106795,1025298144.7154105,1026004915.6411109,0.0689332102416515,772066896.3622243,772565022.8968555,0.06451857176860891,652608089.7108247,653156885.5222927,0.0840927074181965,261473513.48,261653755.5667734,211115400.88,211251609.52143136,210924587.65,211101959.84636557
India,0.15158598329994,1.0,1.0,0.0,1.7875153143511844,1.7848097929045383,-0.15135654642646051,0.15158598329994,0.15158598329993248,0.9984864345201162,394813673.35,395412155.5389502,0.15158598329993248,570402004.49,571266653.9772687,0.15158598329993156,314402395.66556156,315417176.7388393,0.32276505754021734,479778417.8892814,481033513.66599935,0.2615990486274019,90623586.60071984,90276857.92826296,-0.38260312294252247,146622278.24,147095523.7207281,166074380.57999998,166508829.5796111,175588331.14,174916524.70153567
Italy,0.07468246960695701,1.024814852122275,1.0256304902240658,0.07958882524991281,1.7699345968238596,1.7686137523917187,-0.07462673674559028,-0.004902453837536026,-0.004902453837524568,1.0000490269418985,615910260.06,616370237.0527754,0.07468246960695715,568202425.25,568626772.8535433,0.07468246960694956,482527677.8088105,482870345.8764581,0.07101521496211656,418888617.0465181,419175944.4779891,0.06859280003760096,149313808.19940838,149446046.73511037,0.08856417051890188,151360827.7,151468316.9171596,130071209.54,130160429.02466625,47707834.82,47750086.86818086
Japan,0.07462398327413577,1.013176636887676,1.013982487224798,0.07953700349797278,1.7766614469171413,1.7753366200107077,-0.07456833763869239,-0.00490911566034252,-0.004909115660352859,1.0000490935666635,757066261.25,757631214.2501693,0.07462398327412946,772276197.1,772852500.360154,0.07462398327413228,534693507.75809354,535063317.70459676,0.06916297675911406,530321055.6378144,530676392.9040351,0.06700417840157723,241955141.45761013,242169208.49580893,0.0884738538347212,187235369.24,187364866.7949123,186198893.39,186323654.4287088,15209935.85,15223392.666412285
Malaysia,0.07608940448646795,1.0251916643668917,1.026013639292185,0.080177683243353,1.944037472304567,1.9425593904280438,-0.0760315527648245,-0.004085003495719812,-0.004085003495737246,1.000040851703751,299230434.39,299458117.0455696,0.07608940448646487,238249762.70999998,238431045.53563643,0.07608940448646145,262635449.3188848,262829159.11890423,0.07375615154839432,193914838.9185567,194056458.1062982,0.07303164034857457,44334923.77663787,44373985.312846705,0.08810556753324467,65971570.93,66020229.021833986,152571183.27,152682608.50784132,60980671.69,61034399.05687806
Mexico,0.07435702081737272,0.9997865002179523,1.0005832681301114,0.07969380582608462,1.7747339314356991,1.7734152726681895,-0.07430177246021516,-0.0053325353083794125,-0.005332535308373849,1.0000533281968287,494595503.43999994,494963269.9214546,0.07435702081737278,506565459.4700001,506942126.4541518,0.07435702081737139,409503646.49849194,409797622.011976,0.07178825292466434,408680322.0082392,408965518.8829473,0.06978483165195469,97885137.43213741,97972876.89735645,0.08963512492370403,326110286.13,326344395.00702035,215720180.97,215870720.93512923,11969956.03,11980685.315040803
New Zealand,0.11659043577778583,1.1208469670729657,1.121415144620045,0.050691803945649365,1.9910700270428539,1.98875133319656,-0.11645466080053096,0.06586524355199906,0.0658652435519933,0.9993417811019603,44325287.82,44376966.866229095,0.11659043577778232,49221408.96,49278796.41520243,0.11659043577778658,43338738.08287001,43395122.10150711,0.13010073927231414,47088334.76815436,47148666.51851068,0.12812462078637504,2133074.1927200467,2130713.680779108,-0.11066243963735814,8941401.5,8953034.329452805,17922763.74,17945727.213076312,4896121.14,4890702.972898875
Peru,0.14307758993621356,1.0561362903721485,1.0570110010614506,0.08282176242555743,1.8786471435158858,1.8759630607989082,-0.14287316946355147,0.06020596387028755,0.06020596387029604,0.999398302619005,56260115.2,56340610.8169235,0.14307758993621136,51177707.72,51250931.55079037,0.14307758993620417,55956569.32297873,56042162.91513099,0.15296433142321145,49418929.3756225,49493995.38451758,0.15189727872191736,1758778.3438585065,1758159.4466172454,-0.03518904149702672,17643384.98,17670373.065875083,25193005.61,25231273.099949848,5082407.48,5080619.029522815
Russia,0.0733746168597893,0.9617848298080139,0.962529091991217,0.07738343963603266,1.8692194149975343,1.8678488880282522,-0.0733208182135156,-0.004005723009991125,-0.004005723009999718,1.000040058834746,492313790.7,492675024.057674,0.07337461685978375,293497128.02,293712480.41317916,0.07337461685979542,445554813.03044385,445885084.76022285,0.07412594817069977,234003888.93643707,234161303.89923206,0.06727023363177878,59493239.042673565,59542236.49494621,0.0823580175849915,51277528.67,51315538.624325134,101842650.77,101911160.55910978,198816662.68,198980404.14201188
Singapore,0.07630317485014526,1.0437706087166232,1.044595654498757,0.07904474175107855,1.8920562007000696,1.8906136024927753,-0.07624499773106855,-0.002739401548045603,-0.0027394015480643324,1.000027394765933,457473986.07,457823053.2454849,0.07630317485013967,406622366.68,406932632.45542765,0.07630317485014533,357779314.9028998,358041887.1714324,0.07338944919267774,295094605.6930189,295306509.55488646,0.07180878870011824,111527761.00670318,111620491.8211009,0.08314594820221403,145597755.52,145704608.91081306,90673186.0,90738297.31654242,50851619.39,50893900.451118
UK,0.09834895579456937,1.0754868868130414,1.0761282465048263,0.059634357205919766,1.8401344557805925,1.8383264808781965,-0.09825232589479917,0.038691525146329855,0.03869152514634629,0.9996132343940484,470547786.0299999,471010564.8640749,0.09834895579457034,688236538.5059999,688913411.9550173,0.09834895579457885,286911644.7033477,287497163.92554444,0.20407649288761195,492429138.4681867,493209969.46661806,0.1585671800130142,195807400.0010628,195731971.05693132,-0.03852200893892884,176846558.53,177207460.78444046,179006792.62,179290638.6430893,217688752.48,217604894.39931062
USA,0.07761565699124784,1.004402760415831,1.0052010865289969,0.07948266817141839,1.5477193212906877,1.5465189804198332,-0.07755546204938003,-0.0018655284084135677,-0.0018655284084110296,1.0000186556321105,1753136708.11,1754497416.6839542,0.07761565699124968,2932976075.23,2935252523.880186,0.07761565699125404,614914430.5900873,615314535.6938376,0.06506679366207055,1749406904.0109315,1750681835.4868383,0.07287792639801324,1183569170.985886,1184542924.1047115,0.08227259907541538,1005477889.19,1006132121.4134771,972397611.4200001,973106274.6355467,1179839367.12,1180810051.6322443
Vietnam,0.12160474290832113,0.9774366099551998,0.9782486777780065,0.08308137985991335,1.7650149442201766,1.7628712092200964,-0.12145704528452525,0.03849138387554699,0.0384913838755441,0.9996152342629013,335792597.81,336200937.535272,0.12160474290831415,330752261.35,331154471.78707814,0.12160474290831884,305699774.80636394,306129936.8808821,0.14071389970457682,291973777.2928211,292381366.64129674,0.13959792973697868,38778484.040366836,38781870.05616584,0.008731686869131226,171202042.82,171442947.89082593,208832012.67000002,209123537.8363154,5040336.46,5040776.566396837
